date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:32:57	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2002%20Apr%202026%2021:32:57%20GMT	https://web.archive.org/web/20250123172035/https://www.googletagmanager.com	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web.archive.org/web/20250123172035/https_/www.googletagmanager.com	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:32:57	254/254	---M--	303	error ('SEE%20OTHER')	text/html	date:Thu,%2002%20Apr%202026%2021:32:58%20GMT	https://web.archive.org/gtm.js?id=	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web.archive.org/gtm.75445.delayed	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:32:58	151707/151707	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Thu,%2002%20Apr%202026%2021:32:58%20GMT	https://web.archive.org/web/2/http://gtm.js?id=	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web.archive.org/web/2/http_/gtm5445.js	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:32:59	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2002%20Apr%202026%2021:32:59%20GMT	http://web.archive.org/web/20250123172035im_/https://tularosamoto.com/cdn/shop/files/tularosa_sticker_copy.png?crop=center&height=32&v=1658778270&width=32	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web.archive.org/web/20250123172035im_/https_/tularosamoto.com/cdn/shop/files/tularosa_sticker_copy.99d42.delayed	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:32:59	3477/3477	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Apr%202026%2021:32:59%20GMT	https://web.archive.org/web/20250123171701/https://www.googletagmanager.com/	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web.archive.org/web/20250123171701/https_/www.googletagmanager.com/index.html	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:33:00	3820/3820	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Apr%202026%2021:33:00%20GMT	http://web.archive.org/web/20250116190100im_/https://tularosamoto.com/cdn/shop/files/tularosa_sticker_copy.png?crop=center&height=32&v=1658778270&width=32	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web.archive.org/web/20250116190100im_/https_/tularosamoto.com/cdn/shop/files/tularosa_sticker_copy9d42.png	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:33:00	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2002%20Apr%202026%2021:33:00%20GMT	http://web.archive.org/web/20250123172035js_/https://tularosamoto.com/cdn/shop/t/14/assets/constants.js?v=132983761750457495441733441095	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web.archive.org/web/20250123172035js_/https_/tularosamoto.com/cdn/shop/t/14/assets/constants7f1b.js	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:33:02	1575/1575	---MC-	200	added ('OK')	text/javascript	date:Thu,%2002%20Apr%202026%2021:33:02%20GMT	http://web.archive.org/web/20250116190101js_/https://tularosamoto.com/cdn/shop/t/14/assets/constants.js?v=132983761750457495441733441095	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web.archive.org/web/20250116190101js_/https_/tularosamoto.com/cdn/shop/t/14/assets/constants7f1b.js	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:33:03	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2002%20Apr%202026%2021:33:03%20GMT	http://web.archive.org/web/20250123172035js_/https://tularosamoto.com/cdn/shop/t/14/assets/pubsub.js?v=158357773527763999511733441097	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web.archive.org/web/20250123172035js_/https_/tularosamoto.com/cdn/shop/t/14/assets/pubsub.d6f07.delayed	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:33:04	1769/1769	---MC-	200	added ('OK')	text/javascript	date:Thu,%2002%20Apr%202026%2021:33:04%20GMT	http://web.archive.org/web/20250116190100js_/https://tularosamoto.com/cdn/shop/t/14/assets/pubsub.js?v=158357773527763999511733441097	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web.archive.org/web/20250116190100js_/https_/tularosamoto.com/cdn/shop/t/14/assets/pubsub6f07.js	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:33:04	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2002%20Apr%202026%2021:33:04%20GMT	http://web.archive.org/web/20250123172035js_/https://tularosamoto.com/cdn/shop/t/14/assets/global.js?v=152862011079830610291733441096	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web.archive.org/web/20250123172035js_/https_/tularosamoto.com/cdn/shop/t/14/assets/global0ba1.js	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:33:04	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2002%20Apr%202026%2021:33:02%20GMT	https://web.archive.org/web/20250123172035/https://fonts.shopifycdn.com/	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web.archive.org/web/20250123172035/https_/fonts.shopifycdn.com/index.html	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:33:05	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2002%20Apr%202026%2021:33:06%20GMT	http://web.archive.org/web/20250123172035js_/https://tularosamoto.com/cdn/shop/t/14/assets/details-disclosure.js?v=13653116266235556501733441095	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web.archive.org/web/20250123172035js_/https_/tularosamoto.com/cdn/shop/t/14/assets/details-disclosure.110f23.delayed	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:33:05	33918/33918	---MC-	200	added ('OK')	text/javascript	date:Thu,%2002%20Apr%202026%2021:33:05%20GMT	http://web.archive.org/web/20250116190103js_/https://tularosamoto.com/cdn/shop/t/14/assets/global.js?v=152862011079830610291733441096	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web.archive.org/web/20250116190103js_/https_/tularosamoto.com/cdn/shop/t/14/assets/global0ba1.js	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:33:06	2732/2732	---MC-	200	added ('OK')	text/javascript	date:Thu,%2002%20Apr%202026%2021:33:06%20GMT	http://web.archive.org/web/20250116190101js_/https://tularosamoto.com/cdn/shop/t/14/assets/details-disclosure.js?v=13653116266235556501733441095	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web.archive.org/web/20250116190101js_/https_/tularosamoto.com/cdn/shop/t/14/assets/details-disclosure0f23.js	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:33:08	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2002%20Apr%202026%2021:33:08%20GMT	http://web.archive.org/web/20250123172035js_/https://tularosamoto.com/cdn/shop/t/14/assets/details-modal.js?v=25581673532751508451733441095	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web.archive.org/web/20250123172035js_/https_/tularosamoto.com/cdn/shop/t/14/assets/details-modala513.js	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:33:08	2846/2846	---MC-	200	added ('OK')	text/javascript	date:Thu,%2002%20Apr%202026%2021:33:09%20GMT	http://web.archive.org/web/20250116190101js_/https://tularosamoto.com/cdn/shop/t/14/assets/details-modal.js?v=25581673532751508451733441095	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web.archive.org/web/20250116190101js_/https_/tularosamoto.com/cdn/shop/t/14/assets/details-modala513.js	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:33:09	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2002%20Apr%202026%2021:33:09%20GMT	http://web.archive.org/web/20250123172035js_/https://tularosamoto.com/cdn/shop/t/14/assets/search-form.js?v=133129549252120666541733441097	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web.archive.org/web/20250123172035js_/https_/tularosamoto.com/cdn/shop/t/14/assets/search-formda1c.js	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:33:09	2283/2283	---MC-	200	added ('OK')	text/javascript	date:Thu,%2002%20Apr%202026%2021:33:10%20GMT	http://web.archive.org/web/20250116190100js_/https://tularosamoto.com/cdn/shop/t/14/assets/search-form.js?v=133129549252120666541733441097	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web.archive.org/web/20250116190100js_/https_/tularosamoto.com/cdn/shop/t/14/assets/search-formda1c.js	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:33:12	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2002%20Apr%202026%2021:33:12%20GMT	http://web.archive.org/web/20250123172035js_/https://tularosamoto.com/cdn/shop/t/14/assets/animations.js?v=88693664871331136111733441095	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web.archive.org/web/20250123172035js_/https_/tularosamoto.com/cdn/shop/t/14/assets/animations4386.js	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:33:13	4223/4223	---MC-	200	added ('OK')	text/javascript	date:Thu,%2002%20Apr%202026%2021:33:13%20GMT	http://web.archive.org/web/20250116190107js_/https://tularosamoto.com/cdn/shop/t/14/assets/animations.js?v=88693664871331136111733441095	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web.archive.org/web/20250116190107js_/https_/tularosamoto.com/cdn/shop/t/14/assets/animations4386.js	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:33:14	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2002%20Apr%202026%2021:33:14%20GMT	https://web.archive.org/web/20250123172035js_/https://tularosamoto.com/checkouts/internal/preloads.js?locale=en-US	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web.archive.org/web/20250123172035js_/https_/tularosamoto.com/checkouts/internal/preloads.19c494.delayed	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:33:15	7965/7965	---MC-	200	added ('OK')	application/javascript	date:Thu,%2002%20Apr%202026%2021:33:15%20GMT	https://web.archive.org/web/20250116190100js_/https://tularosamoto.com/checkouts/internal/preloads.js?locale=en-US	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web.archive.org/web/20250116190100js_/https_/tularosamoto.com/checkouts/internal/preloadsc494.js	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:33:15	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2002%20Apr%202026%2021:33:16%20GMT	https://web.archive.org/web/20250123172035/https://cdn.shopify.com/shopifycloud/storefront-forms-hcaptcha/ce_storefront_forms_captcha_hcaptcha.v1.5.2.iife.js	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web.archive.org/web/20250123172035/https_/cdn.shopify.com/shopifycloud/storefront-forms-hcaptcha/ce_storefront_forms_captcha_hcaptcha.v1.5.2.iife.1b.delayed	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:33:16	11026/11026	---MC-	200	added ('OK')	text/javascript	date:Thu,%2002%20Apr%202026%2021:33:17%20GMT	https://web.archive.org/web/20250123170533/https://cdn.shopify.com/shopifycloud/storefront-forms-hcaptcha/ce_storefront_forms_captcha_hcaptcha.v1.5.2.iife.js	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web.archive.org/web/20250123170533/https_/cdn.shopify.com/shopifycloud/storefront-forms-hcaptcha/ce_storefront_forms_captcha_hcaptcha.v1.5.2.iife.js	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:33:17	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2002%20Apr%202026%2021:33:17%20GMT	https://web.archive.org/web/20250123172035/https://tularosamoto.com/cdn/shopifycloud/portable-wallets/latest/portable-wallets.en.js	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web.archive.org/web/20250123172035/https_/tularosamoto.com/cdn/shopifycloud/portable-wallets/latest/portable-wallets.en.js	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:33:18	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2002%20Apr%202026%2021:33:18%20GMT	http://web.archive.org/web/20250123172035js_/https://tularosamoto.com/cdn/shopifycloud/shopify/assets/storefront/load_feature-1060834584ef204397b1179782a1b090047ee4397cb627244ab89e03f65c4307.js	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web.archive.org/web/20250123172035js_/https_/tularosamoto.com/cdn/shopifycloud/shopify/assets/storefront/load_feature-1060834584ef204397b1179782a1b090047ee4397cb627244ab89e03f65c4307	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:33:19	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2002%20Apr%202026%2021:33:19%20GMT	http://web.archive.org/web/20250123172035js_/https://tularosamoto.com/cdn/shop/t/14/compiled_assets/scripts.js?469	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web.archive.org/web/20250123172035js_/https_/tularosamoto.com/cdn/shop/t/14/compiled_assets/scriptsdc6a.js	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:33:19	235655/235655	---MC-	200	added ('OK')	text/javascript	date:Thu,%2002%20Apr%202026%2021:33:19%20GMT	https://web.archive.org/web/20250116190101/https://tularosamoto.com/cdn/shopifycloud/portable-wallets/latest/portable-wallets.en.js	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web.archive.org/web/20250116190101/https_/tularosamoto.com/cdn/shopifycloud/portable-wallets/latest/portable-wallets.en.js	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:33:20	4573/4573	---MC-	200	added ('OK')	text/javascript	date:Thu,%2002%20Apr%202026%2021:33:20%20GMT	http://web.archive.org/web/20241221125857js_/https://tularosamoto.com/cdn/shop/t/14/compiled_assets/scripts.js?469	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web.archive.org/web/20241221125857js_/https_/tularosamoto.com/cdn/shop/t/14/compiled_assets/scriptsdc6a.js	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:33:20	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2002%20Apr%202026%2021:33:21%20GMT	http://web.archive.org/web/20250123172035im_/https://tularosamoto.com/cdn/fonts/avenir_next/avenirnext_n5.972a96b7a049f12c89d6d1cd0e1b6c9211f7ba14.woff2?h1=bW90b3Jvc2Euc2hvcA&h2=dHVsYXJvc2Ftb3RvLmNvbQ&h3=am9obnJheW1vbmRtaXJlbGVzLmFjY291bnQubXlzaG9waWZ5LmNvbQ&hmac=aceed2d5aebaa4b3367a006bd4750fa9b5a979b86d24f6a018a3ed88a83208fa	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web.archive.org/web/20250123172035im_/https_/tularosamoto.com/cdn/fonts/avenir_next/avenirnext_n5.972a96b7a049f12c89d6d1cd0e1b6c9211f7ba149919.woff2	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:33:21	37/37	---M--	403	error ('Forbidden')	text/plain	date:Thu,%2002%20Apr%202026%2021:33:21%20GMT	http://web.archive.org/web/20250116190101im_/https://tularosamoto.com/cdn/fonts/avenir_next/avenirnext_n5.972a96b7a049f12c89d6d1cd0e1b6c9211f7ba14.woff2?h3=am9obnJheW1vbmRtaXJlbGVzLmFjY291bnQubXlzaG9waWZ5LmNvbQ&hmac=aceed2d5aebaa4b3367a006bd4750fa9b5a979b86d24f6a018a3ed88a83208fa&h1=bW90b3Jvc2Euc2hvcA&h2=dHVsYXJvc2Ftb3RvLmNvbQ	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web.archive.org/web/20250116190101im_/https_/tularosamoto.com/cdn/fonts/avenir_next/avenirnext_n5.972a96b7a049f12c89d6d1cd0e1b6c9211f7ba143b23.woff2	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:33:21	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2002%20Apr%202026%2021:33:22%20GMT	http://web.archive.org/web/20250123172035im_/https://tularosamoto.com/cdn/fonts/avenir_next/avenirnext_n5.9e88d20fa9eb66ba268ac60ab013006ef69a310a.woff?h1=bW90b3Jvc2Euc2hvcA&h2=dHVsYXJvc2Ftb3RvLmNvbQ&h3=am9obnJheW1vbmRtaXJlbGVzLmFjY291bnQubXlzaG9waWZ5LmNvbQ&hmac=3083893c2232cc2469ace45cfaa189b4254add4ab361cd13950e555a80187e80	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web.archive.org/web/20250123172035im_/https_/tularosamoto.com/cdn/fonts/avenir_next/avenirnext_n5.9e88d20fa9eb66ba268ac60ab013006ef69a310ae7a2.woff	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:33:23	37/37	---M--	403	error ('Forbidden')	text/plain	date:Thu,%2002%20Apr%202026%2021:33:23%20GMT	http://web.archive.org/web/20250116190101im_/https://tularosamoto.com/cdn/fonts/avenir_next/avenirnext_n5.9e88d20fa9eb66ba268ac60ab013006ef69a310a.woff?h2=dHVsYXJvc2Ftb3RvLmNvbQ&h3=am9obnJheW1vbmRtaXJlbGVzLmFjY291bnQubXlzaG9waWZ5LmNvbQ&hmac=3083893c2232cc2469ace45cfaa189b4254add4ab361cd13950e555a80187e80&h1=bW90b3Jvc2Euc2hvcA	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web.archive.org/web/20250116190101im_/https_/tularosamoto.com/cdn/fonts/avenir_next/avenirnext_n5.9e88d20fa9eb66ba268ac60ab013006ef69a310ae528.woff	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:33:23	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2002%20Apr%202026%2021:33:23%20GMT	http://web.archive.org/web/20250123172035im_/https://tularosamoto.com/cdn/fonts/avenir_next/avenirnext_n7.8cfc646eab1e39e2d81a26284624600ccae49d55.woff2?h1=bW90b3Jvc2Euc2hvcA&h2=dHVsYXJvc2Ftb3RvLmNvbQ&h3=am9obnJheW1vbmRtaXJlbGVzLmFjY291bnQubXlzaG9waWZ5LmNvbQ&hmac=f8fe51984824a02a46a931120122203995fdf015ea7810b041d6ee36803812f5	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web.archive.org/web/20250123172035im_/https_/tularosamoto.com/cdn/fonts/avenir_next/avenirnext_n7.8cfc646eab1e39e2d81a26284624600ccae49d55faaf.woff2	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:33:25	19904/19904	---M--	200	added ('OK')	font/woff2	date:Thu,%2002%20Apr%202026%2021:33:25%20GMT	http://web.archive.org/web/20250116190103im_/https://tularosamoto.com/cdn/fonts/avenir_next/avenirnext_n7.8cfc646eab1e39e2d81a26284624600ccae49d55.woff2?hmac=f8fe51984824a02a46a931120122203995fdf015ea7810b041d6ee36803812f5&h1=bW90b3Jvc2Euc2hvcA&h2=dHVsYXJvc2Ftb3RvLmNvbQ&h3=am9obnJheW1vbmRtaXJlbGVzLmFjY291bnQubXlzaG9waWZ5LmNvbQ	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web.archive.org/web/20250116190103im_/https_/tularosamoto.com/cdn/fonts/avenir_next/avenirnext_n7.8cfc646eab1e39e2d81a26284624600ccae49d555851.woff2	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:33:26	152048/152048	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Thu,%2002%20Apr%202026%2021:33:25%20GMT	http://web.archive.org/web/20250123172035im_/https://tularosamoto.com/cdn/fonts/avenir_next/avenirnext_n7.25b10f8089bc87dfd8e50a7c68b433da7a04bc87.woff?h1=bW90b3Jvc2Euc2hvcA&h2=dHVsYXJvc2Ftb3RvLmNvbQ&h3=am9obnJheW1vbmRtaXJlbGVzLmFjY291bnQubXlzaG9waWZ5LmNvbQ&hmac=c0ba191305b753e0d8e024156c7464d3851076b52e0f8e154b4cb262c7548f1b	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web.archive.org/web/20250123172035im_/https_/tularosamoto.com/cdn/fonts/avenir_next/avenirnext_n7.25b10f8089bc87dfd8e50a7c68b433da7a04bc8772f5.woff	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:33:27	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2002%20Apr%202026%2021:33:27%20GMT	http://web.archive.org/web/20250123172035im_/https://tularosamoto.com/cdn/fonts/avenir_next/avenirnext_i5.2d1a6d537e5b485482d6bcca34a56cc10d441a55.woff2?h1=bW90b3Jvc2Euc2hvcA&h2=dHVsYXJvc2Ftb3RvLmNvbQ&h3=am9obnJheW1vbmRtaXJlbGVzLmFjY291bnQubXlzaG9waWZ5LmNvbQ&hmac=3e206080a686bb2f8bd6b572b35fbc8003e8d6f792093b469ae7a09aaabebec2	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web.archive.org/web/20250123172035im_/https_/tularosamoto.com/cdn/fonts/avenir_next/avenirnext_i5.2d1a6d537e5b485482d6bcca34a56cc10d441a5580bb.woff2	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:33:27	37/37	---M--	403	error ('Forbidden')	text/plain	date:Thu,%2002%20Apr%202026%2021:33:27%20GMT	http://web.archive.org/web/20250116190103im_/https://tularosamoto.com/cdn/fonts/avenir_next/avenirnext_i5.2d1a6d537e5b485482d6bcca34a56cc10d441a55.woff2?h2=dHVsYXJvc2Ftb3RvLmNvbQ&h3=am9obnJheW1vbmRtaXJlbGVzLmFjY291bnQubXlzaG9waWZ5LmNvbQ&hmac=3e206080a686bb2f8bd6b572b35fbc8003e8d6f792093b469ae7a09aaabebec2&h1=bW90b3Jvc2Euc2hvcA	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web.archive.org/web/20250116190103im_/https_/tularosamoto.com/cdn/fonts/avenir_next/avenirnext_i5.2d1a6d537e5b485482d6bcca34a56cc10d441a55f205.woff2	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:33:28	152048/152048	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Thu,%2002%20Apr%202026%2021:33:28%20GMT	http://web.archive.org/web/20250123172035im_/https://tularosamoto.com/cdn/fonts/avenir_next/avenirnext_i5.fcfa37c68ca483c41031623bfae4701d99bb4b95.woff?h1=bW90b3Jvc2Euc2hvcA&h2=dHVsYXJvc2Ftb3RvLmNvbQ&h3=am9obnJheW1vbmRtaXJlbGVzLmFjY291bnQubXlzaG9waWZ5LmNvbQ&hmac=eb8d2f82d1eddc2ac2caafbc78d0310a965c334ab47f15813d5a4ebed27f1bc5	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web.archive.org/web/20250123172035im_/https_/tularosamoto.com/cdn/fonts/avenir_next/avenirnext_i5.fcfa37c68ca483c41031623bfae4701d99bb4b954cfb.woff	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
14:33:31	152049/152049	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Thu,%2002%20Apr%202026%2021:33:31%20GMT	http://web.archive.org/web/20250123172035im_/https://tularosamoto.com/cdn/fonts/avenir_next/avenirnext_i7.3a67996166b5b7f1b7cc3b35490ebd6824908dc5.woff2?h1=bW90b3Jvc2Euc2hvcA&h2=dHVsYXJvc2Ftb3RvLmNvbQ&h3=am9obnJheW1vbmRtaXJlbGVzLmFjY291bnQubXlzaG9waWZ5LmNvbQ&hmac=19d52a4a6f846c75034bb8ae83d9e5c87f8d017d867efa953dd4c051a5e7aec2	E:/Documents/Website%20Extract/Fresh%20Again/TularosaMoto/web.archive.org/web/20250123172035im_/https_/tularosamoto.com/cdn/fonts/avenir_next/avenirnext_i7.3a67996166b5b7f1b7cc3b35490ebd6824908dc50132.woff2	(from https://web.archive.org/web/20250123172035/https://tularosamoto.com/)
